start_time,end_time,content,video_id
15260,18260,How do you observe something you can't see?,c8re1U9rCo4
18260,21260,This is the basic question of somebody who's interested,c8re1U9rCo4
21260,23260,in finding and studying black holes.,c8re1U9rCo4
23260,25260,Because black holes are objects,c8re1U9rCo4
25260,28260,whose pull of gravity is so intense,c8re1U9rCo4
28260,30260,"that nothing can escape it, not even light,",c8re1U9rCo4
30260,32260,so you can't see it directly.,c8re1U9rCo4
32260,35260,"So, my story today about black holes",c8re1U9rCo4
35260,37260,is about one particular black hole.,c8re1U9rCo4
37260,40260,I'm interested in finding whether or not,c8re1U9rCo4
40260,43260,"there is a really massive, what we like to call",c8re1U9rCo4
43260,46260,"supermassive"" black hole at the center of our galaxy.""",c8re1U9rCo4
46260,49260,And the reason this is interesting is that,c8re1U9rCo4
49260,52260,it gives us an opportunity to prove,c8re1U9rCo4
52260,56260,whether or not these exotic objects really exist.,c8re1U9rCo4
56260,58260,"And second, it gives us the opportunity",c8re1U9rCo4
58260,61260,to understand how these supermassive black holes,c8re1U9rCo4
61260,63260,"interact with their environment,",c8re1U9rCo4
63260,66260,and to understand how they affect the formation and evolution,c8re1U9rCo4
66260,69260,of the galaxies which they reside in.,c8re1U9rCo4
69260,71260,"So, to begin with,",c8re1U9rCo4
71260,74260,we need to understand what a black hole is,c8re1U9rCo4
74260,76260,so we can understand the proof of a black hole.,c8re1U9rCo4
76260,78260,"So, what is a black hole?",c8re1U9rCo4
78260,82260,"Well, in many ways a black hole is an incredibly simple object,",c8re1U9rCo4
82260,85260,because there are only three characteristics that you can describe:,c8re1U9rCo4
85260,87260,"the mass,",c8re1U9rCo4
87260,89260,"the spin, and the charge.",c8re1U9rCo4
89260,91260,And I'm going to only talk about the mass.,c8re1U9rCo4
91260,94260,"So, in that sense, it's a very simple object.",c8re1U9rCo4
94260,96260,"But in another sense, it's an incredibly complicated object",c8re1U9rCo4
96260,99260,"that we need relatively exotic physics to describe,",c8re1U9rCo4
99260,103260,and in some sense represents the breakdown of our physical understanding,c8re1U9rCo4
103260,105260,of the universe.,c8re1U9rCo4
105260,107260,"But today, the way I want you to understand a black hole,",c8re1U9rCo4
107260,109260,"for the proof of a black hole,",c8re1U9rCo4
109260,111260,is to think of it as an object,c8re1U9rCo4
111260,114260,whose mass is confined to zero volume.,c8re1U9rCo4
114260,116260,"So, despite the fact that I'm going to talk to you about",c8re1U9rCo4
116260,119260,"an object that's supermassive,",c8re1U9rCo4
119260,121260,"and I'm going to get to what that really means in a moment,",c8re1U9rCo4
121260,124260,it has no finite size.,c8re1U9rCo4
124260,126260,"So, this is a little tricky.",c8re1U9rCo4
126260,130260,"But fortunately there is a finite size that you can see,",c8re1U9rCo4
130260,133260,and that's known as the Schwarzschild radius.,c8re1U9rCo4
133260,135260,And that's named after the guy who recognized,c8re1U9rCo4
135260,137260,why it was such an important radius.,c8re1U9rCo4
137260,140260,"This is a virtual radius, not reality; the black hole has no size.",c8re1U9rCo4
140260,142260,So why is it so important?,c8re1U9rCo4
142260,144260,It's important because it tells us,c8re1U9rCo4
144260,148260,that any object can become a black hole.,c8re1U9rCo4
148260,151260,"That means you, your neighbor, your cellphone,",c8re1U9rCo4
151260,153260,the auditorium can become a black hole,c8re1U9rCo4
153260,156260,if you can figure out how to compress it down,c8re1U9rCo4
156260,158260,to the size of the Schwarzschild radius.,c8re1U9rCo4
158260,161260,"At that point, what's going to happen?",c8re1U9rCo4
161260,163260,At that point gravity wins.,c8re1U9rCo4
163260,165260,Gravity wins over all other known forces.,c8re1U9rCo4
165260,168260,And the object is forced to continue to collapse,c8re1U9rCo4
168260,170260,to an infinitely small object.,c8re1U9rCo4
170260,172260,And then it's a black hole.,c8re1U9rCo4
172260,177260,"So, if I were to compress the Earth down to the size of a sugar cube,",c8re1U9rCo4
177260,179260,"it would become a black hole,",c8re1U9rCo4
179260,183260,because the size of a sugar cube is its Schwarzschild radius.,c8re1U9rCo4
183260,186260,"Now, the key here is to figure out what that Schwarzschild radius is.",c8re1U9rCo4
186260,190260,And it turns out that it's actually pretty simple to figure out.,c8re1U9rCo4
190260,192260,It depends only on the mass of the object.,c8re1U9rCo4
192260,194260,Bigger objects have bigger Schwarzschild radii.,c8re1U9rCo4
194260,197260,Smaller objects have smaller Schwarzschild radii.,c8re1U9rCo4
197260,199260,"So, if I were to take the sun",c8re1U9rCo4
199260,202260,"and compress it down to the scale of the University of Oxford,",c8re1U9rCo4
202260,205260,it would become a black hole.,c8re1U9rCo4
205260,208260,"So, now we know what a Schwarzschild radius is.",c8re1U9rCo4
208260,210260,"And it's actually quite a useful concept,",c8re1U9rCo4
210260,212260,because it tells us not only,c8re1U9rCo4
212260,214260,"when a black hole will form,",c8re1U9rCo4
214260,217260,but it also gives us the key elements for the proof of a black hole.,c8re1U9rCo4
217260,219260,I only need two things.,c8re1U9rCo4
219260,221260,I need to understand the mass of the object,c8re1U9rCo4
221260,223260,"I'm claiming is a black hole,",c8re1U9rCo4
223260,225260,and what its Schwarzschild radius is.,c8re1U9rCo4
225260,227260,"And since the mass determines the Schwarzschild radius,",c8re1U9rCo4
227260,229260,there is actually only one thing I really need to know.,c8re1U9rCo4
229260,231260,"So, my job in convincing you",c8re1U9rCo4
231260,233260,that there is a black hole,c8re1U9rCo4
233260,235260,is to show that there is some object,c8re1U9rCo4
235260,238260,that's confined to within its Schwarzschild radius.,c8re1U9rCo4
238260,241260,And your job today is to be skeptical.,c8re1U9rCo4
241260,245260,"Okay, so, I'm going to talk about no ordinary black hole;",c8re1U9rCo4
245260,248260,I'm going to talk about supermassive black holes.,c8re1U9rCo4
248260,250260,"So, I wanted to say a few words about what an ordinary black hole is,",c8re1U9rCo4
250260,253260,as if there could be such a thing as an ordinary black hole.,c8re1U9rCo4
253260,256260,An ordinary black hole is thought to be the end state,c8re1U9rCo4
256260,258260,of a really massive star's life.,c8re1U9rCo4
258260,260260,"So, if a star starts its life off",c8re1U9rCo4
260260,262260,"with much more mass than the mass of the Sun,",c8re1U9rCo4
262260,265260,it's going to end its life by exploding,c8re1U9rCo4
265260,268260,and leaving behind these beautiful supernova remnants that we see here.,c8re1U9rCo4
268260,270260,And inside that supernova remnant,c8re1U9rCo4
270260,272260,is going to be a little black hole,c8re1U9rCo4
272260,275260,that has a mass roughly three times the mass of the Sun.,c8re1U9rCo4
275260,277260,On an astronomical scale,c8re1U9rCo4
277260,279260,that's a very small black hole.,c8re1U9rCo4
279260,282260,"Now, what I want to talk about are the supermassive black holes.",c8re1U9rCo4
282260,286260,And the supermassive black holes are thought to reside at the center of galaxies.,c8re1U9rCo4
